accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-0.04,-0.01,1.02,-0.19,0.56,-0.05
-0.04,-0.01,1.02,-0.22,0.45,-0.03
-0.04,-0.01,1.02,-0.2,0.51,0.01
-0.04,-0.01,1.02,-0.28,0.49,-0.02
-0.04,-0.01,1.02,-0.16,0.43,0.02
-0.04,-0.02,1.02,-0.2,0.49,-0.04
-0.04,-0.01,1.02,-0.25,0.5,-0.01
-0.04,-0.01,1.02,-0.32,0.46,-0.03
-0.04,-0.01,1.02,-0.22,0.49,-0.01
-0.03,-0.01,1.03,-0.32,0.47,-0.02
-0.04,-0.01,1.02,-0.2,0.41,-0.02
-0.04,-0.01,1.02,-0.11,0.55,0.01
-0.04,-0.01,1.02,-0.37,0.54,0.01
-0.04,-0.01,1.02,-0.27,0.48,-0.01
-0.04,-0.01,1.02,-0.12,0.38,-0.01
-0.04,-0.01,1.02,-0.11,0.51,0.01
-0.04,-0.01,1.02,-0.26,0.54,-0.02
-0.04,-0.01,1.02,-0.18,0.46,-0.02
-0.03,-0.01,1.02,-0.24,0.55,-0.03
-0.04,-0.01,1.02,-0.23,0.53,-0.01
-0.04,-0.01,1.02,-0.23,0.53,-0.05
-0.04,-0.01,1.02,-0.23,0.5,-0.04
-0.04,-0.01,1.02,-0.21,0.47,-0.04
-0.04,-0.01,1.02,-0.21,0.46,0.04
-0.04,-0.01,1.02,-0.2,0.48,-0.02
-0.04,-0.01,1.02,-0.21,0.52,-0.03
-0.04,-0.01,1.02,-0.25,0.48,0.0
-0.04,-0.01,1.02,-0.22,0.5,-0.03
-0.04,-0.01,1.02,-0.19,0.48,-0.02
-0.04,-0.01,1.02,-0.26,0.47,-0.04
-0.04,-0.01,1.02,-0.25,0.46,-0.04
-0.04,-0.01,1.02,-0.23,0.39,0.0
-0.04,-0.01,1.02,-0.26,0.41,0.01
-0.04,-0.01,1.02,-0.23,0.5,-0.03
-0.04,-0.01,1.02,-0.21,0.51,-0.01
-0.04,-0.01,1.02,-0.18,0.5,-0.04
-0.04,-0.01,1.02,-0.23,0.47,-0.02
-0.04,-0.01,1.02,-0.25,0.37,0.0
-0.04,-0.01,1.02,-0.25,0.49,-0.03
-0.04,-0.01,1.02,-0.24,0.44,0.0
-0.04,-0.01,1.02,-0.26,0.53,0.0
-0.04,-0.01,1.03,-0.22,0.53,0.01
-0.03,-0.01,1.02,-0.23,0.45,-0.04
-0.04,-0.01,1.02,-0.21,0.49,0.0
-0.04,-0.01,1.02,-0.24,0.39,0.04
-0.04,-0.01,1.02,-0.2,0.37,-0.04
-0.04,-0.01,1.02,-0.21,0.5,-0.04
-0.04,-0.01,1.02,-0.22,0.45,0.04
-0.04,-0.01,1.02,-0.21,0.56,-0.03
-0.04,-0.01,1.02,-0.23,0.5,0.03
-0.04,-0.01,1.02,-0.24,0.46,0.0
-0.04,-0.01,1.02,-0.26,0.47,0.02
-0.04,-0.01,1.02,-0.2,0.53,-0.07
-0.04,-0.01,1.02,-0.21,0.47,-0.03
-0.04,-0.01,1.02,-0.24,0.43,-0.04
-0.04,-0.01,1.02,-0.23,0.39,-0.02
-0.04,-0.01,1.02,-0.24,0.46,-0.03
-0.04,-0.01,1.02,-0.28,0.47,-0.03
-0.04,-0.01,1.02,-0.23,0.39,0.01
-0.04,-0.01,1.02,-0.23,0.45,-0.01
-0.04,-0.01,1.02,-0.22,0.39,-0.02
-0.04,-0.01,1.02,-0.25,0.45,0.0
-0.04,-0.01,1.02,-0.22,0.51,0.0
-0.04,-0.01,1.02,-0.24,0.49,-0.03
-0.04,-0.01,1.02,-0.22,0.43,-0.04
-0.04,-0.01,1.02,-0.18,0.51,-0.03
-0.04,-0.01,1.02,-0.25,0.52,-0.04
-0.04,-0.01,1.02,-0.2,0.44,0.02
-0.04,-0.01,1.02,-0.18,0.49,-0.05
-0.04,-0.01,1.02,-0.25,0.45,-0.02
-0.04,-0.01,1.02,-0.21,0.5,-0.06
-0.04,-0.01,1.02,-0.22,0.53,0.02
-0.04,-0.01,1.03,-0.24,0.45,0.02
-0.04,-0.01,1.02,-0.21,0.47,-0.01
-0.04,-0.01,1.02,-0.25,0.52,0.02
-0.04,-0.01,1.02,-0.25,0.5,0.03
-0.04,-0.01,1.02,-0.24,0.47,0.04
-0.04,-0.01,1.02,-0.24,0.43,0.0
-0.04,-0.01,1.02,-0.19,0.46,-0.05
